name,offset,size,end,crc32,sha256,ff_percent,zero_percent,last_non_ff,description
00-bootloader-combined.bin,0x00000000,0x80000,0x00080000,483548c0,0630714e3e86edfeeed064088266c59524d970e0b74780e903b68b45e8982e7d,43.342209,11.776543,0x6ffdf,Linux bootloader partition: boot stub + U-Boot
00a-boot-stub.bin,0x00000000,0x30000,0x00030000,208d4c20,72389f1958bd8ec570eeafefc30c80227a85234a626eacfa1bb80fac064f322f,3.110758,21.872965,0x2ffff,pre-U-Boot boot stub / stage-1 region
00b-u-boot.bin,0x00030000,0x50000,0x00080000,b0a21f65,1b68453e055dee56a8724b17a927df36ff201a44c8e450c5d17a3b8e9117000d,67.481079,5.718689,0x3ffdf,U-Boot proper per uboot_flash_addr/size
01-kernel-partition.bin,0x00080000,0x600000,0x00680000,699dccf5,a4aadfe8aff6d44157672efd5c52c3f1d403195da90adedbea26d9b44499a8b4,3.108406,27.727032,0x5fffff,vendor firmware header + ELF kernel + padding
01a-firmware-header.bin,0x00080000,0x200,0x00080200,a73ebe45,44ac8a0a40d9c4f72fd6dae607b1f3e560feb7486b69032a5480da48dc1adfab,0.0,81.445312,0x1ff,Cisco/Sercomm firmware container header
01b-linux-kernel.elf,0x00080200,0x573160,0x005f3360,a6c93616,b75746a2d1a856edd4aa6f24dccf72e7afe54ed9c2f2b530d826f1e05b4a29c8,3.422378,20.428587,0x57315f,complete ELF64 big-endian Octeon Linux kernel through section table
01c-kernel-boot-copy.bin,0x00080000,0x580000,0x00600000,0b396f3b,a379673919a567f0c6280478bad769699086c8c985d831880dd6f17c4e36ccf2,3.390988,21.156762,0x57ffff,exact region copied to RAM by stock bootcmd
02-rootfs.squashfs3-be.bin,0x00680000,0x1000000,0x01680000,2083f99f,e1360881a07134108d00f2b5aec1baf1507698513be8c63f232d4b8377a2de88,5.839884,0.333691,0xf2807f,big-endian SquashFS 3.0 root filesystem partition
03-data.jffs2-be.bin,0x01680000,0x100000,0x01780000,8c3e87c4,3cc145af5ac33036e5390ca4525fe074a4cb49f192fd979b7837adfe89f5194d,87.8829,0.467777,0xe000b,big-endian JFFS2 data/config partition
04-linux-named-bootload-env.bin,0x01780000,0x20000,0x017a0000,154803cc,b5a41c3758763bbec72769fab4a2533bf2db0b6312d93d25a695f9e4b9e02260,100.0,0.0,,Linux cmdline partition named bootload-env; erased in this dump
05-unmapped-vendor-tail.bin,0x017a0000,0x840000,0x01fe0000,024ebe1f,47ebe237a3987f843fc19b0f801ce1edc1690768ef6b18e4b03a12ca6b298358,100.0,0.0,,unmapped erased area before actual U-Boot environment sector
06-u-boot-env-actual.bin,0x01fe0000,0x20000,0x02000000,6fa62107,4fcd18a84d33a0fb0d7e25c11d631978ff27a274c14fea7764d25fdd1287a1e6,99.987793,0.003815,0x1ffff,actual U-Boot environment sector at env_addr; bad CRC/default environment
07-RV220W-Firmware-1.0.4.17-recovered.img,0x00080000,0x1528080,0x015a8080,1472ab27,46d79f3c6a6e15c57882f9e3c11b86b44cb1585f5e087def39ec7b350b95bb83,1.310517,8.115817,0x152807f,exact stock firmware image recovered from flash; header-declared length
