path,type,size,mode
bin,dir,6880,0o755
bin/6to4Config,file,15548,0o755
bin/6to4Restart,symlink,23,0o777
bin/8021pRemarkConfig,file,17254,0o755
bin/8021pSupportConfig,file,18172,0o755
bin/8021xConfig,file,12344,0o755
bin/ConfigPort.sh,file,1386,0o755
bin/ResetCache,file,9269,0o755
bin/ShowFirm,file,11564,0o755
bin/ShowFirmVersion,file,12387,0o755
bin/ShowFirmVersion.lua,file,384,0o755
bin/WanStatus.lua,file,2837,0o755
bin/adpDebug,file,5072,0o755
bin/adpLog,file,5460,0o755
bin/base64,file,16783,0o755
bin/bc,file,110216,0o755
bin/bcmRegConfig,file,11235,0o755
bin/bonjourClient,file,16872,0o755
bin/bonjourConfig,file,55912,0o755
bin/bonjourPrepareDefaults.lua,file,5630,0o755
bin/bonjourPrepareDefaults.sh,file,8908,0o755
bin/brctl,file,26584,0o755
bin/bridgeAddPort,symlink,25,0o777
bin/bridgeConfig,file,23220,0o755
bin/bridgeDBConfig,symlink,25,0o777
bin/bridgeDeletePort,symlink,25,0o777
bin/bridgeSetSpeed,symlink,25,0o777
bin/bridgeStart,symlink,25,0o777
bin/bridgeStop,symlink,25,0o777
bin/bridgeVLANConfigMacAddEntry,symlink,25,0o777
bin/bridgeVLANConfigMacDeleteEntry,symlink,25,0o777
bin/bridgeVLANConfigPortAddEntry,symlink,25,0o777
bin/bridgeVLANConfigPortDeleteEntry,symlink,25,0o777
bin/bridgeVLANConfigPrint,symlink,25,0o777
bin/bwLimitConfig,file,41980,0o755
bin/bwLimitDefaults,file,10264,0o755
bin/cgi,file,6952,0o755
bin/changeHostname.lua,file,1471,0o755
bin/chat,file,28048,0o755
bin/checkUserLogIn,file,6240,0o755
bin/clientStatusUpdate,file,8080,0o755
bin/configPortUpdate,symlink,27,0o777
bin/configUpdate.lua,file,12888,0o755
bin/configUpdate2.lua,file,5172,0o755
bin/convert.sh,file,1664,0o644
bin/cpu.sh,file,354,0o755
bin/crond,file,12240,0o755
bin/curl,file,98472,0o755
bin/ddnsClient,file,19808,0o755
bin/ddnsConfig,file,27996,0o755
bin/ddnsView,file,7404,0o755
bin/deviceMgmt.sh,file,727,0o755
bin/dh6clientDnsUpdate,symlink,26,0o777
bin/dh6clientIpAddrUpdate,symlink,26,0o777
bin/dhScript.sh,file,561,0o644
bin/dhclient,file,710776,0o755
bin/dhclient-down-hooks,file,905,0o755
bin/dhclient-exit-hooks,file,1988,0o644
bin/dhclient-script,file,7858,0o755
bin/dhclientHook,file,8856,0o755
bin/dhcp6c,file,254752,0o755
bin/dhcp6s,file,184376,0o755
bin/dhcpConfig,file,23804,0o755
bin/dhcpLeasesUpdate,symlink,23,0o777
bin/dhcpRestart,symlink,23,0o777
bin/dhcpcConfig,file,12312,0o755
bin/dhcpcMonitord,file,7360,0o755
bin/dhcpchk,file,218620,0o755
bin/dhcprelayConfig,file,13072,0o755
bin/dhcpv6cConfUpdate,symlink,26,0o777
