caller_entry	caller_name	callee_name	callee_kind	occurrences
001000a0	bcm5398VlanDisable	miiSwitchRegisterWrite	local	1
00100138	bcm5398VlanEnable	miiSwitchRegisterWrite	local	1
001001d0	bcm5398PortDefaultTagSet	miiSwitchRegisterWrite	local	1
00100240	bcm5398PortEntrySet	miiSwitchRegisterWrite	local	1
00100288	configWanPort	miiSwitchRegisterRead16	local	1
00100288	configWanPort	miiSwitchRegisterWrite	local	1
00100288	configWanPort	strcmp	kernel-or-module-import	2
00100510	bcm5398VlanNon8021QSet	miiSwitchRegisterRead16	local	1
00100510	bcm5398VlanNon8021QSet	miiSwitchRegisterWrite	local	1
001005d0	bcm5398PortLinkStatusQuery	miiSwitchRegisterRead16	local	1
00100628	bcm5398PortDefaultTagGet	miiSwitchRegisterRead16	local	1
001006b8	bcm5398PortEntryGet	miiSwitchRegisterRead16	local	1
00100710	bcm5398PortConfigGet	mii_phy_read	kernel-or-module-import	1
001007e8	bcm5398PortStateSet	mii_phy_read	kernel-or-module-import	1
001007e8	bcm5398PortStateSet	mii_phy_write	kernel-or-module-import	1
00100898	bcm5398PortConfigSet	mii_phy_read	kernel-or-module-import	1
00100898	bcm5398PortConfigSet	mii_phy_write	kernel-or-module-import	2
00100a18	bcm5398VlanEntrySet	configWanPort	local	1
00100a18	bcm5398VlanEntrySet	miiSwitchRegisterRead8	local	1
00100a18	bcm5398VlanEntrySet	miiSwitchRegisterWrite	local	1
00100a18	bcm5398VlanEntrySet	strcmp	kernel-or-module-import	2
00100ca8	bcm5398VlanEntryGet	miiSwitchRegisterRead32	local	1
00100ca8	bcm5398VlanEntryGet	miiSwitchRegisterRead8	local	1
00100ca8	bcm5398VlanEntryGet	miiSwitchRegisterWrite	local	1
00100ca8	bcm5398VlanEntryGet	strcmp	kernel-or-module-import	2
00100ed8	wanportCheck	bcm5398VlanEntryGet	local	1
00100f60	bcm5398PortMirrorSet	miiSwitchRegisterRead16	local	1
00100f60	bcm5398PortMirrorSet	miiSwitchRegisterWrite	local	1
00100f60	bcm5398PortMirrorSet	strcmp	kernel-or-module-import	8
00100f60	bcm5398PortMirrorSet	wanportCheck	local	1
001014b0	bcm5398Ioctl	__copy_user	kernel-or-module-import	22
001014b0	bcm5398Ioctl	bcm5398PortConfigGet	local	1
001014b0	bcm5398Ioctl	bcm5398PortConfigSet	local	1
001014b0	bcm5398Ioctl	bcm5398PortDefaultTagGet	local	1
001014b0	bcm5398Ioctl	bcm5398PortDefaultTagSet	local	1
001014b0	bcm5398Ioctl	bcm5398PortEntryGet	local	1
001014b0	bcm5398Ioctl	bcm5398PortEntrySet	local	1
001014b0	bcm5398Ioctl	bcm5398PortLinkStatusQuery	local	1
001014b0	bcm5398Ioctl	bcm5398PortMirrorSet	local	1
001014b0	bcm5398Ioctl	bcm5398PortStateSet	local	1
001014b0	bcm5398Ioctl	bcm5398VlanDisable	local	1
001014b0	bcm5398Ioctl	bcm5398VlanEnable	local	1
001014b0	bcm5398Ioctl	bcm5398VlanEntryGet	local	1
001014b0	bcm5398Ioctl	bcm5398VlanEntrySet	local	1
001014b0	bcm5398Ioctl	bcm5398VlanNon8021QSet	local	1
001014b0	bcm5398Ioctl	printk	kernel-or-module-import	1
00102610	bcm5398CompatIoctl	bcm5398Ioctl	local	1
00102660	miiSwitchRegisterWrite	mii_phy_read	kernel-or-module-import	2
00102660	miiSwitchRegisterWrite	mii_phy_write	kernel-or-module-import	7
00102660	miiSwitchRegisterWrite	printk	kernel-or-module-import	1
00102898	miiSwitchRegisterRead	mii_phy_read	kernel-or-module-import	6
00102898	miiSwitchRegisterRead	mii_phy_write	kernel-or-module-import	3
00102898	miiSwitchRegisterRead	printk	kernel-or-module-import	1
00102ad8	miiSwitchRegisterRead8	miiSwitchRegisterRead	local	1
00102b28	miiSwitchRegisterRead16	miiSwitchRegisterRead	local	1
00102b78	miiSwitchRegisterRead32	miiSwitchRegisterRead	local	1
00102bd0	cleanup_module	cdev_del	kernel-or-module-import	1
00102c58	init_module	alloc_chrdev_region	kernel-or-module-import	1
00102c58	init_module	cdev_add	kernel-or-module-import	1
00102c58	init_module	cdev_init	kernel-or-module-import	1
00102c58	init_module	printk	kernel-or-module-import	4
00102c58	init_module	strcmp	kernel-or-module-import	2
