entry	name	qualified_name	subsystem	evidence	size	parameters	locals	source	thunk	external	decompile	decompile_sha256	caller_count	callee_count	string_count	c_file	asm_file
001000a0	bcm5398VlanDisable	bcm5398VlanDisable	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	03291bdec9e05691d8306035a29ee481798878c7efa9b503b03826cda2f42ace	0	0	0	decompiled/001000a0_bcm5398VlanDisable.c	assembly/001000a0_bcm5398VlanDisable.asm
00100138	bcm5398VlanEnable	bcm5398VlanEnable	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	f26975abab4270c05fb70543741d7a6d1c1b3f45fe5aeb0f6ed9fdea5d12361f	0	0	0	decompiled/00100138_bcm5398VlanEnable.c	assembly/00100138_bcm5398VlanEnable.asm
001001d0	bcm5398PortDefaultTagSet	bcm5398PortDefaultTagSet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	3c9339326751e9fb307afe8016654a05c1717a898f680c66cfa69e727d01ead6	0	0	0	decompiled/001001d0_bcm5398PortDefaultTagSet.c	assembly/001001d0_bcm5398PortDefaultTagSet.asm
00100240	bcm5398PortEntrySet	bcm5398PortEntrySet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	75673d39b72cde9c20cd83c565a72495ad8d26b07666d54eeb397253b7d414c8	0	0	0	decompiled/00100240_bcm5398PortEntrySet.c	assembly/00100240_bcm5398PortEntrySet.asm
00100288	configWanPort	configWanPort	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	202e23291f028069b5c6c3ce79a674ea00f708797cac85b16aed98f158d8329d	0	0	0	decompiled/00100288_configWanPort.c	assembly/00100288_configWanPort.asm
00100510	bcm5398VlanNon8021QSet	bcm5398VlanNon8021QSet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	c45b0355c9d5a4513ef8cdc3907def5e210f92383ed713d1d26809a6a990a638	0	0	0	decompiled/00100510_bcm5398VlanNon8021QSet.c	assembly/00100510_bcm5398VlanNon8021QSet.asm
001005d0	bcm5398PortLinkStatusQuery	bcm5398PortLinkStatusQuery	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	7d0cb6d6f52e231ea54165d2b32ae4a3cf8ce1c6c5ec6479dc33832636b3c8e0	0	0	0	decompiled/001005d0_bcm5398PortLinkStatusQuery.c	assembly/001005d0_bcm5398PortLinkStatusQuery.asm
00100628	bcm5398PortDefaultTagGet	bcm5398PortDefaultTagGet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	7a62452f3337536737456ce343de68858308ab475d100747938682edc061104c	0	0	0	decompiled/00100628_bcm5398PortDefaultTagGet.c	assembly/00100628_bcm5398PortDefaultTagGet.asm
001006b8	bcm5398PortEntryGet	bcm5398PortEntryGet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	60e1f90696e8efa70267958ecd57be15b454347e66dd235787124ae33ba7eed5	0	0	0	decompiled/001006b8_bcm5398PortEntryGet.c	assembly/001006b8_bcm5398PortEntryGet.asm
00100710	bcm5398PortConfigGet	bcm5398PortConfigGet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	9d163a29bc9da00b3aaa0679afc2289a57ca8d46e503c2692dfb8b895855ea38	0	0	0	decompiled/00100710_bcm5398PortConfigGet.c	assembly/00100710_bcm5398PortConfigGet.asm
001007e8	bcm5398PortStateSet	bcm5398PortStateSet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	8d262c4a9440b82c0391db56da098ec8a45c202a1ce1a12a0d44cfbc54eb07b0	0	0	0	decompiled/001007e8_bcm5398PortStateSet.c	assembly/001007e8_bcm5398PortStateSet.asm
00100898	bcm5398PortConfigSet	bcm5398PortConfigSet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	e6547e29fbcde379e37b724d640a2cf48bc1ff17502dbd141cd44b0bf9ec80fa	0	0	0	decompiled/00100898_bcm5398PortConfigSet.c	assembly/00100898_bcm5398PortConfigSet.asm
00100a18	bcm5398VlanEntrySet	bcm5398VlanEntrySet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	6f0f687469dbd1733cedb3257113e6942a32ef0a71326838cbb6fd027b9fab60	0	0	0	decompiled/00100a18_bcm5398VlanEntrySet.c	assembly/00100a18_bcm5398VlanEntrySet.asm
00100ca8	bcm5398VlanEntryGet	bcm5398VlanEntryGet	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	5eeffc91b9f2deffa749e24246945a62f8a669d0e0aa4354bba111137a889ad2	0	0	0	decompiled/00100ca8_bcm5398VlanEntryGet.c	assembly/00100ca8_bcm5398VlanEntryGet.asm
00100ed8	wanportCheck	wanportCheck	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	ada966e007861c5773aca8a11248869a69293c6c26bc59e86eddda9f527a40ce	0	0	0	decompiled/00100ed8_wanportCheck.c	assembly/00100ed8_wanportCheck.asm
