caller_entry	caller_name	callee_name	callee_kind	occurrences
00100210	offloadPortConfig	printk	kernel-or-module-import	2
001002e0	sysctlHwOffloadBrcmHandler	offloadPortConfig	local	1
001002e0	sysctlHwOffloadBrcmHandler	printk	kernel-or-module-import	1
001003d0	sysctlHwOffloadVlanHandler	offloadPortConfig	local	1
001003d0	sysctlHwOffloadVlanHandler	printk	kernel-or-module-import	1
001004c0	hwOffloadSysctlUnregister	printk	kernel-or-module-import	1
001004c0	hwOffloadSysctlUnregister	unregister_sysctl_table	kernel-or-module-import	2
00100580	local_cavium_ethernet_text_000370	single_open	kernel-or-module-import	1
001005c0	local_cavium_ethernet_text_0003b0	single_open	kernel-or-module-import	1
00100600	local_cavium_ethernet_text_0003f0	single_open	kernel-or-module-import	1
00100640	local_cavium_ethernet_text_000430	single_open	kernel-or-module-import	1
00100680	local_cavium_ethernet_text_000470	single_open	kernel-or-module-import	1
001006c0	local_cavium_ethernet_text_0004b0	seq_printf	kernel-or-module-import	1
00100768	hwOffloadSysctlRegister	printk	kernel-or-module-import	8
00100768	hwOffloadSysctlRegister	register_sysctl_table	kernel-or-module-import	4
00100a10	allocateCacheMemory	cvmx_bootmem_alloc	kernel-or-module-import	1
00100a10	allocateCacheMemory	flushFlowInfo	local	1
00100a10	allocateCacheMemory	panic	kernel-or-module-import	1
00100a10	allocateCacheMemory	printk	kernel-or-module-import	2
00100b78	sysctlHwOffloadHandler	flushFlowInfo	local	1
00100bb8	local_cavium_ethernet_text_0009a8	seq_printf	kernel-or-module-import	3
00100de8	local_cavium_ethernet_text_000bd8	seq_printf	kernel-or-module-import	1
00100ec8	local_cavium_ethernet_text_000cb8	seq_printf	kernel-or-module-import	1
00100f48	local_cavium_ethernet_text_000d38	seq_printf	kernel-or-module-import	1
00100fb8	cvm_oct_register_callback	strcmp	kernel-or-module-import	1
001010c0	TF1_cvm_oct_mdio_read	yield	kernel-or-module-import	1
00101188	cvm_oct_mdio_write	yield	kernel-or-module-import	1
00101248	local_cavium_ethernet_text_001038	kfree_skb	kernel-or-module-import	2
00101248	local_cavium_ethernet_text_001038	mod_timer	kernel-or-module-import	1
001015a8	cvm_oct_free_work	cvmx_warn	kernel-or-module-import	2
00101848	local_cavium_ethernet_text_001638	printk	kernel-or-module-import	1
00101938	brcm_miiphy_read	local_cavium_ethernet_text_001568	local	1
00101938	brcm_miiphy_read	local_cavium_ethernet_text_001638	local	1
00101ac0	brcm_miiphy_write	local_cavium_ethernet_text_001568	local	1
00101ac0	brcm_miiphy_write	local_cavium_ethernet_text_001638	local	1
00101cc8	cvm_oct_common_init	brcm_miiphy_read	local	1
00101cc8	cvm_oct_common_init	brcm_miiphy_write	local	1
00101cc8	cvm_oct_common_init	cvm_oct_mdio_setup_device	local	1
00101cc8	cvm_oct_common_init	memset	kernel-or-module-import	2
00101cc8	cvm_oct_common_init	strstr	kernel-or-module-import	1
00102238	local_cavium_ethernet_text_002028	cvmx_helper_interface_get_mode	kernel-or-module-import	1
00102238	local_cavium_ethernet_text_002028	memset	kernel-or-module-import	2
00102238	local_cavium_ethernet_text_002028	octeon_is_simulation	kernel-or-module-import	1
00102238	local_cavium_ethernet_text_002028	panic	kernel-or-module-import	1
00102448	local_cavium_ethernet_text_002238	memset	kernel-or-module-import	2
00102448	local_cavium_ethernet_text_002238	octeon_is_simulation	kernel-or-module-import	1
00102928	local_cavium_ethernet_text_002718	cvmx_helper_interface_get_mode	kernel-or-module-import	2
00102928	local_cavium_ethernet_text_002718	local_cavium_ethernet_text_002028	local	1
00102928	local_cavium_ethernet_text_002718	memcpy	kernel-or-module-import	2
00102928	local_cavium_ethernet_text_002718	panic	kernel-or-module-import	2
00102928	local_cavium_ethernet_text_002718	printk	kernel-or-module-import	1
00102bb8	local_cavium_ethernet_text_0029a8	cvmx_helper_interface_get_mode	kernel-or-module-import	1
00102bb8	local_cavium_ethernet_text_0029a8	local_cavium_ethernet_text_002028	local	1
00102bb8	local_cavium_ethernet_text_0029a8	memcpy	kernel-or-module-import	2
00102bb8	local_cavium_ethernet_text_0029a8	panic	kernel-or-module-import	1
00102e80	local_cavium_ethernet_text_002c70	strcpy	kernel-or-module-import	2
00102f20	cvm_oct_mdio_setup_device	cvmx_helper_board_get_mii_address	kernel-or-module-import	1
001030b0	cvm_oct_ioctl	generic_mii_ioctl	kernel-or-module-import	1
001030f0	local_cavium_ethernet_text_002ee0	yield	kernel-or-module-import	1
001031b0	local_cavium_ethernet_text_002fa0	yield	kernel-or-module-import	1
00103280	cvm_oct_mem_empty_fpa	kfree_skb	kernel-or-module-import	1
001033c0	local_cavium_ethernet_text_0031b0	__alloc_skb	kernel-or-module-import	1
001033c0	local_cavium_ethernet_text_0031b0	cvmx_warn	kernel-or-module-import	1
001033c0	local_cavium_ethernet_text_0031b0	memcpy	kernel-or-module-import	1
001035a8	cvm_oct_mem_fill_fpa_tf1	__alloc_skb	kernel-or-module-import	1
001035a8	cvm_oct_mem_fill_fpa_tf1	cvmx_warn	kernel-or-module-import	1
001035a8	cvm_oct_mem_fill_fpa_tf1	memcpy	kernel-or-module-import	1
001035c8	cvm_oct_mem_fill_fpa	__alloc_skb	kernel-or-module-import	1
001035c8	cvm_oct_mem_fill_fpa	cvmx_warn	kernel-or-module-import	1
001035c8	cvm_oct_mem_fill_fpa	memcpy	kernel-or-module-import	1
001035e8	cvm_oct_fill_hw_memory	__kmalloc	kernel-or-module-import	1
001035e8	cvm_oct_fill_hw_memory	panic	kernel-or-module-import	1
001037f0	cvm_oct_proc_initialize	create_proc_entry	kernel-or-module-import	1
001038a8	local_cavium_ethernet_text_003698	local_cavium_ethernet_text_003520	local	1
001038a8	local_cavium_ethernet_text_003698	seq_printf	kernel-or-module-import	24
00104090	cvm_oct_rgmii_init	cvm_oct_common_init	local	1
00104090	cvm_oct_rgmii_init	local_cavium_ethernet_text_003f88	local	1
00104090	cvm_oct_rgmii_init	octeon_is_simulation	kernel-or-module-import	1
00104198	local_cavium_ethernet_text_003f88	__printk_ratelimit	kernel-or-module-import	3
00104198	local_cavium_ethernet_text_003f88	cvmx_helper_link_autoconf	kernel-or-module-import	1
00104198	local_cavium_ethernet_text_003f88	cvmx_helper_link_get	kernel-or-module-import	1
00104198	local_cavium_ethernet_text_003f88	panic	kernel-or-module-import	2
00104198	local_cavium_ethernet_text_003f88	printk	kernel-or-module-import	1
00104298	local_cavium_ethernet_text_004088	__printk_ratelimit	kernel-or-module-import	3
00104298	local_cavium_ethernet_text_004088	cvmx_helper_link_autoconf	kernel-or-module-import	1
00104298	local_cavium_ethernet_text_004088	cvmx_helper_link_get	kernel-or-module-import	1
00104298	local_cavium_ethernet_text_004088	panic	kernel-or-module-import	1
00104298	local_cavium_ethernet_text_004088	printk	kernel-or-module-import	1
00104848	local_cavium_ethernet_text_004638	panic	kernel-or-module-import	1
00104b58	local_cavium_ethernet_text_004948	local_cavium_ethernet_text_0048e8	local	1
00104c38	cvm_ipfwd_find_entry	cvmx_warn	kernel-or-module-import	1
00104db8	cvm_ipfwd_ct_match_find	cvmx_warn	kernel-or-module-import	1
00105040	cvm_ipfwd_setup_entry	cvm_ipfwd_ptr_free	local	1
00105040	cvm_ipfwd_setup_entry	cvmx_warn	kernel-or-module-import	1
00105188	local_cavium_ethernet_text_004f78	kfree	kernel-or-module-import	1
00105188	local_cavium_ethernet_text_004f78	kmem_cache_alloc	kernel-or-module-import	1
00105188	local_cavium_ethernet_text_004f78	memset	kernel-or-module-import	1
00105188	local_cavium_ethernet_text_004f78	seq_open	kernel-or-module-import	1
001052b8	ip_fastfwd_proc_tbl_init	create_proc_entry	kernel-or-module-import	1
00105390	cvm_mac_sprintf	memcpy	kernel-or-module-import	1
00105390	cvm_mac_sprintf	memset	kernel-or-module-import	1
00105390	cvm_mac_sprintf	snprintf	kernel-or-module-import	1
00105480	local_cavium_ethernet_text_005270	cvm_ipfwd_check_timestamp	local	1
00105480	local_cavium_ethernet_text_005270	cvm_mac_sprintf	local	1
00105480	local_cavium_ethernet_text_005270	cvmx_warn	kernel-or-module-import	1
00105480	local_cavium_ethernet_text_005270	memset	kernel-or-module-import	2
00105480	local_cavium_ethernet_text_005270	seq_printf	kernel-or-module-import	1
00105480	local_cavium_ethernet_text_005270	strcpy	kernel-or-module-import	4
001058b8	cvm_ipfwd_ct_refresh	__mod_timer	kernel-or-module-import	1
001058b8	cvm_ipfwd_ct_refresh	cvm_ipfwd_ct_match_find	local	1
001058b8	cvm_ipfwd_ct_refresh	del_timer	kernel-or-module-import	1
001058b8	cvm_ipfwd_ct_refresh	tcp_ct_conn_timeout	kernel-or-module-import	1
001058b8	cvm_ipfwd_ct_refresh	udp_ct_conn_timeout	kernel-or-module-import	1
00105af0	isMarkable	findInBlockList	kernel-or-module-import	2
00105b60	cvm_ipfwd_mark_packet	isMarkable	local	1
00105df8	flushFlowInfo	cvm_ipfwd_ptr_flush	local	1
00105df8	flushFlowInfo	cvm_ipfwd_ptr_free	local	1
00105df8	flushFlowInfo	cvmx_warn	kernel-or-module-import	1
00105df8	flushFlowInfo	printk	kernel-or-module-import	1
00105f80	cvm_ipfwd_cache_flow	__printk_ratelimit	kernel-or-module-import	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_check_timestamp	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_check_timestamp_just_created	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_find_entry	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_get_free_entry	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_ptr_alloc	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_ptr_free	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_setup_entry	local	1
00105f80	cvm_ipfwd_cache_flow	cvm_ipfwd_setup_flow_info	local	1
00105f80	cvm_ipfwd_cache_flow	cvmx_warn	kernel-or-module-import	3
00105f80	cvm_ipfwd_cache_flow	printk	kernel-or-module-import	1
001065a8	brcmTagDelete	memmove	kernel-or-module-import	1
00106618	cvm_oct_do_interrupt	__tasklet_schedule	kernel-or-module-import	1
00106708	cvm_oct_tasklet_rx	__alloc_skb	kernel-or-module-import	1
00106708	cvm_oct_tasklet_rx	__printk_ratelimit	kernel-or-module-import	2
00106708	cvm_oct_tasklet_rx	brcmTagDelete	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_calculate_ip_header_checksum	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_check_bucket_timestamp	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_check_timestamp	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_find_entry	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_mark_packet	local	1
00106708	cvm_oct_tasklet_rx	cvm_ipfwd_random_select	local	1
00106708	cvm_oct_tasklet_rx	cvm_oct_free_work	local	1
00106708	cvm_oct_tasklet_rx	cvm_oct_mem_fill_fpa_tf1	local	1
00106708	cvm_oct_tasklet_rx	cvm_oct_transmit_qos	local	1
00106708	cvm_oct_tasklet_rx	cvmx_warn	kernel-or-module-import	12
00106708	cvm_oct_tasklet_rx	eth_type_trans	kernel-or-module-import	2
00106708	cvm_oct_tasklet_rx	is_port_authorised	local	1
00106708	cvm_oct_tasklet_rx	memcpy	kernel-or-module-import	2
00106708	cvm_oct_tasklet_rx	memmove	kernel-or-module-import	5
00106708	cvm_oct_tasklet_rx	netif_receive_skb	kernel-or-module-import	1
00106708	cvm_oct_tasklet_rx	printk	kernel-or-module-import	3
00106708	cvm_oct_tasklet_rx	raise_softirq_irqoff	kernel-or-module-import	3
00106708	cvm_oct_tasklet_rx	skb_over_panic	kernel-or-module-import	2
00106708	cvm_oct_tasklet_rx	skb_under_panic	kernel-or-module-import	1
00106708	cvm_oct_tasklet_rx	strncmp	kernel-or-module-import	1
00108260	cvm_oct_sgmii_init	cvm_oct_common_init	local	1
00108260	cvm_oct_sgmii_init	local_cavium_ethernet_text_008400	local	1
00108260	cvm_oct_sgmii_init	octeon_is_simulation	kernel-or-module-import	1
00108328	local_cavium_ethernet_text_008118	__printk_ratelimit	kernel-or-module-import	2
00108328	local_cavium_ethernet_text_008118	cvmx_helper_link_autoconf	kernel-or-module-import	1
00108328	local_cavium_ethernet_text_008118	cvmx_helper_link_get	kernel-or-module-import	1
00108610	local_cavium_ethernet_text_008400	panic	kernel-or-module-import	2
