entry	name	qualified_name	subsystem	evidence	size	parameters	locals	source	thunk	external	decompile	decompile_sha256	caller_count	callee_count	string_count	c_file	asm_file
00100210	offloadPortConfig	offloadPortConfig	octeon-offload	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	0a018c52401a8685127efb0624a3e64ce677f3e4685d3eba8429bae7c163f252	0	0	0	decompiled/00100210_offloadPortConfig.c	assembly/00100210_offloadPortConfig.asm
001002e0	sysctlHwOffloadBrcmHandler	sysctlHwOffloadBrcmHandler	octeon-offload	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	12e99ab1bd2a19e4943cfa759a047a98be4bcf57f78aed6ba2e5d41d8cc43e69	0	0	0	decompiled/001002e0_sysctlHwOffloadBrcmHandler.c	assembly/001002e0_sysctlHwOffloadBrcmHandler.asm
001003d0	sysctlHwOffloadVlanHandler	sysctlHwOffloadVlanHandler	bcm53115-switch	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	6e9c833248d8a8d3f46d526c23ad29ab9d25f9c002bb155e497a2f07fae1e2a2	0	0	0	decompiled/001003d0_sysctlHwOffloadVlanHandler.c	assembly/001003d0_sysctlHwOffloadVlanHandler.asm
001004c0	hwOffloadSysctlUnregister	hwOffloadSysctlUnregister	octeon-offload	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	1e19b883733938ffaf470dd56c3e5d7faee3fcb443eb415bdd22764a3319a300	0	0	0	decompiled/001004c0_hwOffloadSysctlUnregister.c	assembly/001004c0_hwOffloadSysctlUnregister.asm
00100580	local_cavium_ethernet_text_000370	local_cavium_ethernet_text_000370	octeon-ethernet	retained-or-recovered-symbol	60	0	0	USER_DEFINED	false	false	success	961b1bcdc0e2119010abf6a83bdd7aede9159c067ce61d4962c57be5d64063ba	0	0	0	decompiled/00100580_local_cavium_ethernet_text_000370.c	assembly/00100580_local_cavium_ethernet_text_000370.asm
001005c0	local_cavium_ethernet_text_0003b0	local_cavium_ethernet_text_0003b0	octeon-ethernet	retained-or-recovered-symbol	60	0	0	USER_DEFINED	false	false	success	9aad943c3a87ea618d8ff1c54c41f6c932fa079c4b3b3a03fc27afed1cd52a3b	0	0	0	decompiled/001005c0_local_cavium_ethernet_text_0003b0.c	assembly/001005c0_local_cavium_ethernet_text_0003b0.asm
00100600	local_cavium_ethernet_text_0003f0	local_cavium_ethernet_text_0003f0	octeon-ethernet	retained-or-recovered-symbol	60	0	0	USER_DEFINED	false	false	success	a2821508d56716b8a69e9dd548fb6a6b5e7ecb0362e4251f11b2299c01a0950c	0	0	0	decompiled/00100600_local_cavium_ethernet_text_0003f0.c	assembly/00100600_local_cavium_ethernet_text_0003f0.asm
00100640	local_cavium_ethernet_text_000430	local_cavium_ethernet_text_000430	octeon-ethernet	retained-or-recovered-symbol	60	0	0	USER_DEFINED	false	false	success	c61c42366ee0817244e3bdf0c1a107a9b7141db67322273d064c86f272390661	0	0	0	decompiled/00100640_local_cavium_ethernet_text_000430.c	assembly/00100640_local_cavium_ethernet_text_000430.asm
00100680	local_cavium_ethernet_text_000470	local_cavium_ethernet_text_000470	octeon-ethernet	retained-or-recovered-symbol	60	0	0	USER_DEFINED	false	false	success	834a1ef1cf479134452fb8d9812a256f5f1f0aaca866294936044cb0439aa404	0	0	0	decompiled/00100680_local_cavium_ethernet_text_000470.c	assembly/00100680_local_cavium_ethernet_text_000470.asm
001006c0	local_cavium_ethernet_text_0004b0	local_cavium_ethernet_text_0004b0	octeon-ethernet	retained-or-recovered-symbol	168	0	0	USER_DEFINED	false	false	success	7864516f059178173c5b796f50bee07485053a9127014646ffcecc30c551e9d8	0	0	0	decompiled/001006c0_local_cavium_ethernet_text_0004b0.c	assembly/001006c0_local_cavium_ethernet_text_0004b0.asm
