caller_entry	caller_name	callee_name	callee_kind	occurrences
00100080	set_input	gpio_config_input_sense	local	1
001000e0	local_push_button_proc_write_or_ack	__up	kernel-or-module-import	1
00100198	local_push_button_proc_read	__copy_user	kernel-or-module-import	1
00100198	local_push_button_proc_read	__down_interruptible	kernel-or-module-import	1
00100198	local_push_button_proc_read	__mod_timer	kernel-or-module-import	1
00100198	local_push_button_proc_read	strlen	kernel-or-module-import	1
00100408	local_push_button_timer_callback	led_blink	kernel-or-module-import	1
00100408	local_push_button_timer_callback	strcpy	kernel-or-module-import	1
00100770	cleanup_module	del_timer	kernel-or-module-import	1
00100770	cleanup_module	remove_proc_entry	kernel-or-module-import	1
00100770	cleanup_module	unregister_sysctl_table	kernel-or-module-import	1
00100880	init_module	create_proc_entry	kernel-or-module-import	1
00100880	init_module	init_timer	kernel-or-module-import	1
00100880	init_module	init_waitqueue_head	kernel-or-module-import	1
00100880	init_module	printk	kernel-or-module-import	1
00100880	init_module	register_sysctl_table	kernel-or-module-import	1
00100880	init_module	set_input	local	1
