caller_entry	caller_name	callee_name	callee_kind	occurrences
00100080	led_off	gpio_config_output	local	1
001000e0	led_on	gpio_config_output	local	1
00100140	local_led_proc_read	__copy_user	kernel-or-module-import	1
00100140	local_led_proc_read	memset	kernel-or-module-import	1
00100140	local_led_proc_read	printk	kernel-or-module-import	1
00100140	local_led_proc_read	sprintf	kernel-or-module-import	1
00100140	local_led_proc_read	strlen	kernel-or-module-import	1
00100378	led_blink	__mod_timer	kernel-or-module-import	2
00100608	blink_wlan	__mod_timer	kernel-or-module-import	1
00100638	local_led_proc_write	__copy_user	kernel-or-module-import	1
00100638	local_led_proc_write	__down_interruptible	kernel-or-module-import	1
00100638	local_led_proc_write	__up	kernel-or-module-import	1
00100638	local_led_proc_write	led_blink	local	1
00100638	local_led_proc_write	led_off	local	1
00100638	local_led_proc_write	led_on	local	1
00100dc0	local_led_timer_callback	led_off	local	1
00100dc0	local_led_timer_callback	led_on	local	1
00101120	cleanup_module	del_timer	kernel-or-module-import	2
00101120	cleanup_module	remove_proc_entry	kernel-or-module-import	1
00101258	init_module	create_proc_entry	kernel-or-module-import	1
00101258	init_module	init_timer	kernel-or-module-import	2
00101258	init_module	init_waitqueue_head	kernel-or-module-import	1
00101258	init_module	printk	kernel-or-module-import	1
