entry	name	qualified_name	subsystem	evidence	size	parameters	locals	source	thunk	external	decompile	decompile_sha256	caller_count	callee_count	string_count	c_file	asm_file
00100050	gpio_config_output	gpio_config_output	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	f1f14fca5e71923fd9dbb160dc6d9c0d7160052d712b26495d417025e24d4910	0	0	0	decompiled/00100050_gpio_config_output.c	assembly/00100050_gpio_config_output.asm
00100080	led_off	led_off	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	2a2b078b52549b13bc6835809326afbf16688645726c606fb1d4dc8f65a13d91	0	0	0	decompiled/00100080_led_off.c	assembly/00100080_led_off.asm
001000e0	led_on	led_on	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	ddbd26f2d02c4457c0c864d8b063aa260d3f61f8d00454f5339c9e3475fa7a03	0	0	0	decompiled/001000e0_led_on.c	assembly/001000e0_led_on.asm
00100140	local_led_proc_read	local_led_proc_read	led-gpio	retained-or-recovered-symbol	564	0	0	USER_DEFINED	false	false	success	63bb685276d5830d50dd370073ec6f7e44ea18a420149b6f2de1455c9f0025a5	0	0	0	decompiled/00100140_local_led_proc_read.c	assembly/00100140_local_led_proc_read.asm
00100378	led_blink	led_blink	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	192b5d040e773439259e01d832e8be96d4e8add5ec56d3ab226e29c0868f7d9c	0	0	0	decompiled/00100378_led_blink.c	assembly/00100378_led_blink.asm
00100608	blink_wlan	blink_wlan	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	c87eca7303f25f8138fe9140c633bcd2c30cb77a24601302b959c3861090d9dc	0	0	0	decompiled/00100608_blink_wlan.c	assembly/00100608_blink_wlan.asm
00100638	local_led_proc_write	local_led_proc_write	led-gpio	retained-or-recovered-symbol	524	0	0	USER_DEFINED	false	false	success	7ce0f9288f83e4a749c0d52d5698040515fc66f2fd0a90f3a556b1acfdd9a8ce	0	0	0	decompiled/00100638_local_led_proc_write.c	assembly/00100638_local_led_proc_write.asm
00100d90	gpio_config_input_sense	gpio_config_input_sense	led-gpio	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	b998e4a7e892769c75258b4f147a45f896030c138695cc4d2c99decd860bb437	0	0	0	decompiled/00100d90_gpio_config_input_sense.c	assembly/00100d90_gpio_config_input_sense.asm
00100dc0	local_led_timer_callback	local_led_timer_callback	led-gpio	retained-or-recovered-symbol	848	0	0	USER_DEFINED	false	false	success	985ba46125210cc667d34ecf997c21123f21c6c2aa9f08589df26d504f7448bd	0	0	0	decompiled/00100dc0_local_led_timer_callback.c	assembly/00100dc0_local_led_timer_callback.asm
00101120	cleanup_module	cleanup_module	module-lifecycle	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	77a5515c6e10bfd508f0708c9b112e08870cc5f51afdad83d3e75a455b6de81a	0	0	0	decompiled/00101120_cleanup_module.c	assembly/00101120_cleanup_module.asm
00101258	init_module	init_module	module-lifecycle	retained-or-recovered-symbol	1	0	0	IMPORTED	false	false	success	ef924e5bdefef56d12a73c09a7234ad9245d6d89ca87130a469747c85cce9891	0	0	0	decompiled/00101258_init_module.c	assembly/00101258_init_module.asm
