caller_section	caller_offset	caller_name	callsite_offset	callee_section	callee_offset	callee_name	kind
.text	0x1e8	configWanPort	0x438	.text	0x324	local_bcm5398_text_000324	internal-section
.text	0x1e8	configWanPort	0x44c	.text	0x350	local_bcm5398_text_000350	internal-section
.text	0x1e8	configWanPort	0x464	.text	0x350	local_bcm5398_text_000350	internal-section
.text	0x470	bcm5398VlanNon8021QSet	0x528	.text	0x4dc	local_bcm5398_text_0004dc	internal-section
.text	0x670	bcm5398PortConfigGet	0x724	.text	0x6c8	local_bcm5398_text_0006c8	internal-section
.text	0x670	bcm5398PortConfigGet	0x730	.text	0x6c8	local_bcm5398_text_0006c8	internal-section
.text	0x670	bcm5398PortConfigGet	0x73c	.text	0x6c8	local_bcm5398_text_0006c8	internal-section
.text	0x748	bcm5398PortStateSet	0x7f0	.text	0x7b4	local_bcm5398_text_0007b4	internal-section
.text	0x7f8	bcm5398PortConfigSet	0x8cc	.text	0x92c	local_bcm5398_text_00092c	internal-section
.text	0x7f8	bcm5398PortConfigSet	0x96c	.text	0x90c	local_bcm5398_text_00090c	internal-section
.text	0x978	bcm5398VlanEntrySet	0xba8	.text	0xa2c	local_bcm5398_text_000a2c	internal-section
.text	0x978	bcm5398VlanEntrySet	0xbd8	.text	0xa6c	local_bcm5398_text_000a6c	internal-section
.text	0x978	bcm5398VlanEntrySet	0xc00	.text	0xa6c	local_bcm5398_text_000a6c	internal-section
.text	0xc08	bcm5398VlanEntryGet	0xe2c	.text	0xca4	local_bcm5398_text_000ca4	internal-section
.text	0xec0	bcm5398PortMirrorSet	0x1248	.text	0xfc0	local_bcm5398_text_000fc0	internal-section
.text	0xec0	bcm5398PortMirrorSet	0x12d0	.text	0x1120	local_bcm5398_text_001120	internal-section
.text	0xec0	bcm5398PortMirrorSet	0x1374	.text	0x1194	local_bcm5398_text_001194	internal-section
.text	0xec0	bcm5398PortMirrorSet	0x1400	.text	0x1194	local_bcm5398_text_001194	internal-section
.text	0x1410	bcm5398Ioctl	0x1668	.text	0x16bc	local_bcm5398_text_0016bc	internal-section
.text	0x1410	bcm5398Ioctl	0x17d8	.text	0x16bc	local_bcm5398_text_0016bc	internal-section
.text	0x1410	bcm5398Ioctl	0x18b0	.text	0x16bc	local_bcm5398_text_0016bc	internal-section
.text	0x1410	bcm5398Ioctl	0x1944	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1a34	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1ae0	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1b78	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1c14	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1cc4	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1cfc	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1d90	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1e8c	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x1f70	.text	0x156c	local_bcm5398_text_00156c	internal-section
.text	0x1410	bcm5398Ioctl	0x206c	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x2134	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x2170	.text	0x16c0	local_bcm5398_text_0016c0	internal-section
.text	0x1410	bcm5398Ioctl	0x226c	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x2360	.text	0x156c	local_bcm5398_text_00156c	internal-section
.text	0x1410	bcm5398Ioctl	0x23f4	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x1410	bcm5398Ioctl	0x2454	.text	0x16bc	local_bcm5398_text_0016bc	internal-section
.text	0x1410	bcm5398Ioctl	0x24d0	.text	0x1630	local_bcm5398_text_001630	internal-section
.text	0x1410	bcm5398Ioctl	0x2564	.text	0x1568	local_bcm5398_text_001568	internal-section
.text	0x25c0	miiSwitchRegisterWrite	0x27f0	.text	0x2768	local_bcm5398_text_002768	internal-section
.text	0x27f8	miiSwitchRegisterRead	0x2a2c	.text	0x293c	local_bcm5398_text_00293c	internal-section
.init.text	0x0	init_module	0x2c4	.init.text	0xd0	local_bcm5398_init_text_0000d0	internal-section
.init.text	0x0	init_module	0x340	.init.text	0xd0	local_bcm5398_init_text_0000d0	internal-section
.init.text	0x0	init_module	0x3a0	.init.text	0x298	local_bcm5398_init_text_000298	internal-section
