caller_section	caller_offset	caller_name	callsite_offset	callee_section	callee_offset	callee_name	kind
.text	0xf0	local_led_proc_read	0x2f0	.text	0x24c	local_scm_led_text_00024c	internal-section
.text	0x328	led_blink	0x3cc	.text	0x380	local_scm_led_text_000380	internal-section
.text	0x328	led_blink	0x5ac	.text	0x3a4	local_scm_led_text_0003a4	internal-section
.text	0x5e8	local_led_proc_write	0x668	.text	0x60c	local_scm_led_text_00060c	internal-section
.text	0x5e8	local_led_proc_write	0x834	.text	0x650	local_scm_led_text_000650	internal-section
.text	0x5e8	local_led_proc_write	0x8b4	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0x938	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0x9b8	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xa38	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xab8	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xb08	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xb58	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xba8	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xbf8	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xc48	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xc98	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xcd8	.text	0x6c8	local_scm_led_text_0006c8	internal-section
.text	0x5e8	local_led_proc_write	0xd08	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0x5e8	local_led_proc_write	0xd38	.text	0x79c	local_scm_led_text_00079c	internal-section
.text	0xd70	local_led_timer_callback	0xdf4	.text	0xe10	local_scm_led_text_000e10	internal-section
.text	0xd70	local_led_timer_callback	0xf50	.text	0xe04	local_scm_led_text_000e04	internal-section
.text	0xd70	local_led_timer_callback	0xf60	.text	0xe40	local_scm_led_text_000e40	internal-section
.text	0xd70	local_led_timer_callback	0xfcc	.text	0xe04	local_scm_led_text_000e04	internal-section
