section	offset	name
.text	0x370	local_cavium_ethernet_text_000370
.text	0x3b0	local_cavium_ethernet_text_0003b0
.text	0x3f0	local_cavium_ethernet_text_0003f0
.text	0x430	local_cavium_ethernet_text_000430
.text	0x470	local_cavium_ethernet_text_000470
.text	0x4b0	local_cavium_ethernet_text_0004b0
.text	0x9a8	local_cavium_ethernet_text_0009a8
.text	0xbd8	local_cavium_ethernet_text_000bd8
.text	0xcb8	local_cavium_ethernet_text_000cb8
.text	0xd38	local_cavium_ethernet_text_000d38
.text	0x1038	local_cavium_ethernet_text_001038
.init.text	0x0	local_cavium_ethernet_init_text_000000
.exit.text	0x0	local_cavium_ethernet_exit_text_000000
.text	0x1568	local_cavium_ethernet_text_001568
.text	0x1638	local_cavium_ethernet_text_001638
.text	0x2028	local_cavium_ethernet_text_002028
.text	0x2238	local_cavium_ethernet_text_002238
.text	0x2718	local_cavium_ethernet_text_002718
.text	0x29a8	local_cavium_ethernet_text_0029a8
.text	0x2c60	local_cavium_ethernet_text_002c60
.text	0x2c68	local_cavium_ethernet_text_002c68
.text	0x2c70	local_cavium_ethernet_text_002c70
.text	0x2e20	local_cavium_ethernet_text_002e20
.text	0x2e40	local_cavium_ethernet_text_002e40
.text	0x2e60	local_cavium_ethernet_text_002e60
.text	0x2e80	local_cavium_ethernet_text_002e80
.text	0x2ee0	local_cavium_ethernet_text_002ee0
.text	0x2fa0	local_cavium_ethernet_text_002fa0
.text	0x31b0	local_cavium_ethernet_text_0031b0
.text	0x3520	local_cavium_ethernet_text_003520
.text	0x3658	local_cavium_ethernet_text_003658
.text	0x3698	local_cavium_ethernet_text_003698
.text	0x3f88	local_cavium_ethernet_text_003f88
.text	0x4088	local_cavium_ethernet_text_004088
.text	0x4638	local_cavium_ethernet_text_004638
.text	0x48e8	local_cavium_ethernet_text_0048e8
.text	0x4948	local_cavium_ethernet_text_004948
.text	0x49f8	local_cavium_ethernet_text_0049f8
.text	0x4a20	local_cavium_ethernet_text_004a20
.text	0x4f78	local_cavium_ethernet_text_004f78
.text	0x5270	local_cavium_ethernet_text_005270
.text	0x8118	local_cavium_ethernet_text_008118
.text	0x8400	local_cavium_ethernet_text_008400
.text	0x8500	local_cavium_ethernet_text_008500
.text	0x8600	local_cavium_ethernet_text_008600
.text	0x8810	local_cavium_ethernet_text_008810
.text	0x8a90	local_cavium_ethernet_text_008a90
.text	0xb670	local_cavium_ethernet_text_00b670
.text	0xb770	local_cavium_ethernet_text_00b770
