entry	name	subsystem	size	source	decompile	sha256	callers	callees	strings	c_file	asm_file
ffffffffbfc005cc	FUN_ffffffffbfc005cc	bootloader-support	404	DEFAULT	success	59e4d354844abba879b335e23ffa69699dcb4f2861ca19009fc8e6a1a7b4f150	0	1	0	decompiled/ffffffffbfc005cc_FUN_ffffffffbfc005cc.c	assembly/ffffffffbfc005cc_FUN_ffffffffbfc005cc.asm
ffffffffbfc00760	FUN_ffffffffbfc00760	bootloader-support	32	DEFAULT	success	d20762609f4850322b0f75f87b3e02f246b9a35075a1a08fc1b585c8b883928b	1	0	0	decompiled/ffffffffbfc00760_FUN_ffffffffbfc00760.c	assembly/ffffffffbfc00760_FUN_ffffffffbfc00760.asm
ffffffffbfc00780	FUN_ffffffffbfc00780	bootloader-support	84	DEFAULT	success	8e68b517398938ce9eacbc7bb1791a13d8aec730deb73fb8e6dab4ba5daa6334	1	0	0	decompiled/ffffffffbfc00780_FUN_ffffffffbfc00780.c	assembly/ffffffffbfc00780_FUN_ffffffffbfc00780.asm
ffffffffbfc00914	FUN_ffffffffbfc00914	bootloader-support	8	DEFAULT	success	d6478ec0f3850a5361cb1921a0119661b3d867de249dc59deccec9f34467cf9e	0	0	0	decompiled/ffffffffbfc00914_FUN_ffffffffbfc00914.c	assembly/ffffffffbfc00914_FUN_ffffffffbfc00914.asm
ffffffffbfc0091c	FUN_ffffffffbfc0091c	bootloader-support	8	DEFAULT	success	60d9bf1f834913f5bb47e337f7f7b03f7a5b5cf00ae8c4b8df2f13baeebda80f	1	0	0	decompiled/ffffffffbfc0091c_FUN_ffffffffbfc0091c.c	assembly/ffffffffbfc0091c_FUN_ffffffffbfc0091c.asm
ffffffffbfc00a00	FUN_ffffffffbfc00a00	bootloader-support	372	DEFAULT	success	b171bd2f61ef7165456cb22632dff5c135747acbc7dd09e4303fac6f7beb7173	3	0	0	decompiled/ffffffffbfc00a00_FUN_ffffffffbfc00a00.c	assembly/ffffffffbfc00a00_FUN_ffffffffbfc00a00.asm
ffffffffbfc00b78	FUN_ffffffffbfc00b78	bootloader-support	48	DEFAULT	success	dadd139425b45024b6379cd78d6d3489583899bbc62de2140a114110934a3d6e	3	0	0	decompiled/ffffffffbfc00b78_FUN_ffffffffbfc00b78.c	assembly/ffffffffbfc00b78_FUN_ffffffffbfc00b78.asm
ffffffffbfc00ba8	FUN_ffffffffbfc00ba8	bootloader-support	140	DEFAULT	success	032bddf09169754e1bcdbe9fad145f996fc71c9c67a0b94f32eb332bc35fe56f	2	1	0	decompiled/ffffffffbfc00ba8_FUN_ffffffffbfc00ba8.c	assembly/ffffffffbfc00ba8_FUN_ffffffffbfc00ba8.asm
ffffffffbfc00c34	FUN_ffffffffbfc00c34	bootloader-support	104	DEFAULT	success	80971d6fb635036b78d8fc8bb459eb300e188ad556beaec4a226d82d5e87e6e2	2	0	0	decompiled/ffffffffbfc00c34_FUN_ffffffffbfc00c34.c	assembly/ffffffffbfc00c34_FUN_ffffffffbfc00c34.asm
ffffffffbfc00dc8	FUN_ffffffffbfc00dc8	bootloader-support	28	DEFAULT	success	147719b3a617e828951d140510599658d6c4a143623a043557099ec69b527f34	1	1	0	decompiled/ffffffffbfc00dc8_FUN_ffffffffbfc00dc8.c	assembly/ffffffffbfc00dc8_FUN_ffffffffbfc00dc8.asm
ffffffffbfc00de4	FUN_ffffffffbfc00de4	bootloader-support	184	DEFAULT	success	4058f14d2f32499ea07cc8d1f1fa6f29bc9a0c58fb6f8c54044100903d99165e	1	2	0	decompiled/ffffffffbfc00de4_FUN_ffffffffbfc00de4.c	assembly/ffffffffbfc00de4_FUN_ffffffffbfc00de4.asm
ffffffffbfc00e9c	FUN_ffffffffbfc00e9c	bootloader-support	28	DEFAULT	success	6cc472f740f3fb0c17815706d5e9f23e86bb4c7463df54313e18437de54f0452	1	1	0	decompiled/ffffffffbfc00e9c_FUN_ffffffffbfc00e9c.c	assembly/ffffffffbfc00e9c_FUN_ffffffffbfc00e9c.asm
ffffffffbfc00eb8	FUN_ffffffffbfc00eb8	bootloader-support	80	DEFAULT	success	f912c77a850bedf97abcbc48b78e87a8e42f002031f07401ee96ffefda2050b0	2	0	0	decompiled/ffffffffbfc00eb8_FUN_ffffffffbfc00eb8.c	assembly/ffffffffbfc00eb8_FUN_ffffffffbfc00eb8.asm
ffffffffbfc00f08	FUN_ffffffffbfc00f08	bootloader-support	48	DEFAULT	success	03bd77b4a63e3bc07e9bed0bfcc881ac2a6621ecfb2895b61cd8fc607fe7fc3d	1	1	1	decompiled/ffffffffbfc00f08_FUN_ffffffffbfc00f08.c	assembly/ffffffffbfc00f08_FUN_ffffffffbfc00f08.asm
ffffffffbfc00fb4	FUN_ffffffffbfc00fb4	bootloader-support	64	DEFAULT	success	caa42605e9827059edfe0ea2b563a396287c6b71aaa7800a3b5452dc89dd9779	0	1	2	decompiled/ffffffffbfc00fb4_FUN_ffffffffbfc00fb4.c	assembly/ffffffffbfc00fb4_FUN_ffffffffbfc00fb4.asm
ffffffffbfc00ff4	FUN_ffffffffbfc00ff4	bootloader-support	124	DEFAULT	success	6d1917ee73f48c3793000c3c250ff42579c259a4be804ce2614fa627cf6c90f7	0	2	1	decompiled/ffffffffbfc00ff4_FUN_ffffffffbfc00ff4.c	assembly/ffffffffbfc00ff4_FUN_ffffffffbfc00ff4.asm
ffffffffbfc01070	FUN_ffffffffbfc01070	bootloader-support	552	DEFAULT	success	eab08cdfa85ed0cd6e51aab5e910b590d2084013f0920871a6e463694f0361ee	0	9	1	decompiled/ffffffffbfc01070_FUN_ffffffffbfc01070.c	assembly/ffffffffbfc01070_FUN_ffffffffbfc01070.asm
ffffffffbfc01298	board_init_r	board-init	4488	USER_DEFINED	success	207e0f076f1ed0a2bf1969637bc38a5f4f0f7ca334010d5c32d361b92e77e937	0	40	77	decompiled/ffffffffbfc01298_board_init_r.c	assembly/ffffffffbfc01298_board_init_r.asm
ffffffffbfc02e50	FUN_ffffffffbfc02e50	bootloader-support	64	DEFAULT	success	5fc35cf033824e53ebca2bc219c905ad9f6bcc507115c688c8ce78e6e4a2796c	12	0	0	decompiled/ffffffffbfc02e50_FUN_ffffffffbfc02e50.c	assembly/ffffffffbfc02e50_FUN_ffffffffbfc02e50.asm
ffffffffbfc02e9c	thunk_FUN_ffffffffbfc03190	bootloader-support	24	DEFAULT	success	3f63d5bbd35dc51a6427ee00847a20e3467216f33a6154d0b1f25e61ce36c52d	1	1	0	decompiled/ffffffffbfc02e9c_thunk_FUN_ffffffffbfc03190.c	assembly/ffffffffbfc02e9c_thunk_FUN_ffffffffbfc03190.asm
ffffffffbfc02ed0	FUN_ffffffffbfc02ed0	bootloader-support	68	DEFAULT	success	96a3c612f6b17eaebeaaf91a3f0b294612b982fc7e28ec2507a713cce3b14a4c	7	1	0	decompiled/ffffffffbfc02ed0_FUN_ffffffffbfc02ed0.c	assembly/ffffffffbfc02ed0_FUN_ffffffffbfc02ed0.asm
ffffffffbfc02f40	FUN_ffffffffbfc02f40	bootloader-support	372	DEFAULT	success	6d2ff4ea7f7657c1091d0d70f1e7e61c4e38f1dded402a5b3898728c70d1cea6	1	0	0	decompiled/ffffffffbfc02f40_FUN_ffffffffbfc02f40.c	assembly/ffffffffbfc02f40_FUN_ffffffffbfc02f40.asm
ffffffffbfc030b8	FUN_ffffffffbfc030b8	bootloader-support	48	DEFAULT	success	0a96da0bbfaa7a51bb058d62b157e021869217f7fa90c00ff80c14a5c831ad42	4	0	0	decompiled/ffffffffbfc030b8_FUN_ffffffffbfc030b8.c	assembly/ffffffffbfc030b8_FUN_ffffffffbfc030b8.asm
ffffffffbfc030f4	FUN_ffffffffbfc030f4	bootloader-support	12	DEFAULT	success	e436527eb5d6b11eddd2a3f378a86f8dc3ec1f100db563fb6b34ac466dfa5daf	2	0	0	decompiled/ffffffffbfc030f4_FUN_ffffffffbfc030f4.c	assembly/ffffffffbfc030f4_FUN_ffffffffbfc030f4.asm
ffffffffbfc03100	FUN_ffffffffbfc03100	bootloader-support	36	DEFAULT	success	373637ee2d6ef9bd323d45293fc72c321732e63e64428184548054ce7b73d30f	2	0	0	decompiled/ffffffffbfc03100_FUN_ffffffffbfc03100.c	assembly/ffffffffbfc03100_FUN_ffffffffbfc03100.asm
ffffffffbfc03124	FUN_ffffffffbfc03124	bootloader-support	36	DEFAULT	success	85127ca507a80f6c0912b043eb953d7eb91447c1dd09c93be6ba5a1aff1ebee5	2	0	0	decompiled/ffffffffbfc03124_FUN_ffffffffbfc03124.c	assembly/ffffffffbfc03124_FUN_ffffffffbfc03124.asm
ffffffffbfc03148	FUN_ffffffffbfc03148	bootloader-support	36	DEFAULT	success	50bce7a96070be2e9e0d59bf3d9a5e2f668dd797f36ff6de6b312326f9e91c60	2	0	0	decompiled/ffffffffbfc03148_FUN_ffffffffbfc03148.c	assembly/ffffffffbfc03148_FUN_ffffffffbfc03148.asm
ffffffffbfc0316c	FUN_ffffffffbfc0316c	bootloader-support	36	DEFAULT	success	0039fb6fa1e73c061c20be2ddf4cdcbec69ed107a6f4ff3acafe1e54a7ed6df2	2	0	0	decompiled/ffffffffbfc0316c_FUN_ffffffffbfc0316c.c	assembly/ffffffffbfc0316c_FUN_ffffffffbfc0316c.asm
ffffffffbfc03190	FUN_ffffffffbfc03190	bootloader-support	36	DEFAULT	success	53ca777af744b9baf90bc7eecf8a2717eb1ab91535f4c4321036a95ba370d7d2	7	0	0	decompiled/ffffffffbfc03190_FUN_ffffffffbfc03190.c	assembly/ffffffffbfc03190_FUN_ffffffffbfc03190.asm
ffffffffbfc031c0	FUN_ffffffffbfc031c0	bootloader-support	36	DEFAULT	success	19d85feb35fb08c3cf9f905b25b2cd19465b0981eb71612179de583d1cc7b9c4	2	0	0	decompiled/ffffffffbfc031c0_FUN_ffffffffbfc031c0.c	assembly/ffffffffbfc031c0_FUN_ffffffffbfc031c0.asm
ffffffffbfc031e4	FUN_ffffffffbfc031e4	bootloader-support	128	DEFAULT	success	958ba30ca99346e48474f751592198120b328de5a38c98a92be267f27ed7999f	4	0	0	decompiled/ffffffffbfc031e4_FUN_ffffffffbfc031e4.c	assembly/ffffffffbfc031e4_FUN_ffffffffbfc031e4.asm
ffffffffbfc03264	FUN_ffffffffbfc03264	bootloader-support	48	DEFAULT	success	404cdb3d13171d56bca6d0d001cd33e56aa8b71753975cca76653f3c6beecb6c	3	1	0	decompiled/ffffffffbfc03264_FUN_ffffffffbfc03264.c	assembly/ffffffffbfc03264_FUN_ffffffffbfc03264.asm
ffffffffbfc03294	FUN_ffffffffbfc03294	bootloader-support	24	DEFAULT	success	cb97cf3ee2cfdd6d564ed55029efc6cb1b3d5c514734b0e570af199ea0456caf	1	0	0	decompiled/ffffffffbfc03294_FUN_ffffffffbfc03294.c	assembly/ffffffffbfc03294_FUN_ffffffffbfc03294.asm
ffffffffbfc032c0	FUN_ffffffffbfc032c0	bootloader-support	88	DEFAULT	success	5265a55718e09e0d05bcea9e5d624d49999c22ec2e39003fe509f52f902538de	1	0	0	decompiled/ffffffffbfc032c0_FUN_ffffffffbfc032c0.c	assembly/ffffffffbfc032c0_FUN_ffffffffbfc032c0.asm
ffffffffbfc03318	FUN_ffffffffbfc03318	bootloader-support	52	DEFAULT	success	4dc567ff6527e8ea6c3b4c0cdb7a67af6e5f86e7317caf9a4499749debddfbeb	2	0	0	decompiled/ffffffffbfc03318_FUN_ffffffffbfc03318.c	assembly/ffffffffbfc03318_FUN_ffffffffbfc03318.asm
ffffffffbfc0334c	FUN_ffffffffbfc0334c	bootloader-support	444	DEFAULT	success	ad6d0a2ff2074e27b16e3021f0ffb36591e049b1abc6cc9a90f017f3b69cfcce	2	0	0	decompiled/ffffffffbfc0334c_FUN_ffffffffbfc0334c.c	assembly/ffffffffbfc0334c_FUN_ffffffffbfc0334c.asm
ffffffffbfc03508	FUN_ffffffffbfc03508	bootloader-support	132	DEFAULT	success	7662a5b56cec318dcdcdc523f98e899179b8832fe2e127c82450752a30545744	1	0	0	decompiled/ffffffffbfc03508_FUN_ffffffffbfc03508.c	assembly/ffffffffbfc03508_FUN_ffffffffbfc03508.asm
ffffffffbfc0358c	FUN_ffffffffbfc0358c	bootloader-support	48	DEFAULT	success	adab6223f41edb3a31b3d19437b4cdd2a7b25430dec44b81d1ed33097833d1a0	0	1	0	decompiled/ffffffffbfc0358c_FUN_ffffffffbfc0358c.c	assembly/ffffffffbfc0358c_FUN_ffffffffbfc0358c.asm
