function_entry	function_name	string
ffffffffbfc00f08	FUN_ffffffffbfc00f08	### ERROR ### Please RESET the board ###\n
ffffffffbfc00fb4	FUN_ffffffffbfc00fb4	U-Boot 1.1.1 (Development build, svnversion: 193M) (Build time: Jun 14 2012 - 15:20:38)
ffffffffbfc00fb4	FUN_ffffffffbfc00fb4	\n\n%s\n\n
ffffffffbfc00ff4	FUN_ffffffffbfc00ff4	baudrate
ffffffffbfc01070	FUN_ffffffffbfc01070	hanging...\n
ffffffffbfc01298	board_init_r	Flash: 
ffffffffbfc01298	board_init_r	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc01298	board_init_r	IPD backpressure workaround verified, took %d loops\n
ffffffffbfc01298	board_init_r	IPD backpressure workaround FAILED verfication. Adjust octeon_ipd_bp_enable() for this chip!\n
ffffffffbfc01298	board_init_r	IPD backpressure workaround FAILED. Adjust octeon_ipd_bp_enable() for this chip!\n
ffffffffbfc01298	board_init_r	Clearing DRAM.....
ffffffffbfc01298	board_init_r	!Core is not in the exception handler. Focus not changed.
ffffffffbfc01298	board_init_r	 done\n
ffffffffbfc01298	board_init_r	FATAL: Error initializing free memory list\n
ffffffffbfc01298	board_init_r	octeon_reserved_mem_load_size
ffffffffbfc01298	board_init_r	octeon_reserved_mem_load_base
ffffffffbfc01298	board_init_r	__tmp_load
ffffffffbfc01298	board_init_r	ERROR: Unable to allocate bootloader reserved memory (addr: 0x%x, size: 0x%x).\n
ffffffffbfc01298	board_init_r	loadaddr
ffffffffbfc01298	board_init_r	WARNING: No reserved memory for image loading.\n
ffffffffbfc01298	board_init_r	octeon_reserved_mem_linux_size
ffffffffbfc01298	board_init_r	octeon_reserved_mem_linux_base
ffffffffbfc01298	board_init_r	__tmp_reserved_linux
ffffffffbfc01298	board_init_r	ERROR: Unable to allocate linux reserved memory (addr: 0x%x, size: 0x%x).\n
ffffffffbfc01298	board_init_r	numcores
ffffffffbfc01298	board_init_r	ethaddr
ffffffffbfc01298	board_init_r	ipaddr
ffffffffbfc01298	board_init_r	pci_console_active
ffffffffbfc01298	board_init_r	Using PCI console, serial port disabled.\n
ffffffffbfc01298	board_init_r	stdin
ffffffffbfc01298	board_init_r	stdout
ffffffffbfc01298	board_init_r	stderr
ffffffffbfc01298	board_init_r	PCI CONS
ffffffffbfc01298	board_init_r	serial
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_NULL
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_NIAGARA
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_EBH3000
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_EBT5800
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_EBH5600
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_MAX
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_CUST_NB5
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_CUST_RV320W
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_CUST_PRIVATE_MAX
ffffffffbfc01298	board_init_r	Unsupported Board
ffffffffbfc01298	board_init_r	CVMX_BOARD_TYPE_SIM
