record_address	command	maxargs	repeatable	handler	usage	help
0xffffffffbfc440a0	autoscr	2	0	0xffffffffbfc13614		
0xffffffffbfc440c0	go	64	1	0xffffffffbfc13690		
0xffffffffbfc440e0	reset	1	0	0xffffffffbfc27acc		
0xffffffffbfc44100	gunzip	5	0	0xffffffffbfc139e8		
0xffffffffbfc44120	coninfo	3	1	0xffffffffbfc13bf0		
0xffffffffbfc44140	bootelf	2	0	0xffffffffbfc140ec		
0xffffffffbfc44160	flinfo	2	1	0xffffffffbfc14764		
0xffffffffbfc44180	erase	3	0	0xffffffffbfc1480c		
0xffffffffbfc441a0	protect	4	1	0xffffffffbfc14a84		
0xffffffffbfc441c0	itest	4	0	0xffffffffbfc15194		
0xffffffffbfc441e0	loads	2	0	0xffffffffbfc15f64		
0xffffffffbfc44200	loadb	3	0	0xffffffffbfc158e8		
0xffffffffbfc44220	gpio	4	1	0xffffffffbfc16458		
0xffffffffbfc44240	md	3	1	0xffffffffbfc17c88		
0xffffffffbfc44260	mm	2	1	0xffffffffbfc174f8		
0xffffffffbfc44280	nm	2	1	0xffffffffbfc174cc		
0xffffffffbfc442a0	mw	4	1	0xffffffffbfc17aa4		
0xffffffffbfc442c0	cp	4	1	0xffffffffbfc176ac		
0xffffffffbfc442e0	cmp	4	1	0xffffffffbfc17888		
0xffffffffbfc44300	crc32	4	1	0xffffffffbfc16d50		
0xffffffffbfc44320	base	2	1	0xffffffffbfc166b0		
0xffffffffbfc44340	read64	2	1	0xffffffffbfc16afc		
0xffffffffbfc44360	write64	4	1	0xffffffffbfc168c4		
0xffffffffbfc44380	namedalloc	4	0	0xffffffffbfc16bac		
0xffffffffbfc443a0	namedfree	2	0	0xffffffffbfc1661c		
0xffffffffbfc443c0	namedprint	1	0	0xffffffffbfc165e4		
0xffffffffbfc443e0	freeprint	1	0	0xffffffffbfc165ac		
0xffffffffbfc44400	read64b	2	1	0xffffffffbfc17140		
0xffffffffbfc44420	read64s	2	1	0xffffffffbfc16998		
0xffffffffbfc44440	read64l	2	1	0xffffffffbfc16a4c		
0xffffffffbfc44460	write64b	4	1	0xffffffffbfc17070		
0xffffffffbfc44480	write64s	4	1	0xffffffffbfc167fc		
0xffffffffbfc444a0	write64l	4	1	0xffffffffbfc16738		
0xffffffffbfc444c0	read_cmp	4	1	0xffffffffbfc16380		
0xffffffffbfc444e0	loop	3	1	0xffffffffbfc17524		
0xffffffffbfc44500	mtest	4	1	0xffffffffbfc16e74		
0xffffffffbfc44520	mii	5	1	0xffffffffbfc1855c		
0xffffffffbfc44540	bcmmii	5	1	0xffffffffbfc183dc		
0xffffffffbfc44560	sleep	2	2	0xffffffffbfc18a00		
0xffffffffbfc44580	bootp	3	1	0xffffffffbfc18d6c		
0xffffffffbfc445a0	tftpboot	3	1	0xffffffffbfc18d8c		
0xffffffffbfc445c0	rarpboot	3	1	0xffffffffbfc18d4c		
0xffffffffbfc445e0	printenv	64	1	0xffffffffbfc19bb4		
0xffffffffbfc44600	setenv	64	0	0xffffffffbfc19af0		
0xffffffffbfc44620	saveenv	1	0	0xffffffffbfc18fd4		
0xffffffffbfc44640	askenv	64	1	0xffffffffbfc198f4		
0xffffffffbfc44660	run	64	1	0xffffffffbfc12ac8		
0xffffffffbfc44680	pci	5	1	0xffffffffbfc1b0c4		
0xffffffffbfc446a0	bootoct	128	0	0xffffffffbfc1c35c		
0xffffffffbfc446c0	bootoctlinux	32	0	0xffffffffbfc1d950		
0xffffffffbfc446e0	bootoctelf	32	0	0xffffffffbfc1e094		
0xffffffffbfc44700	version	1	1	0xffffffffbfc1ef1c		
0xffffffffbfc44720	echo	64	1	0xffffffffbfc1e6d0		
0xffffffffbfc44740	help	64	1	0xffffffffbfc1eff8		
0xffffffffbfc44760	?	64	1	0xffffffffbfc1eff8		
0xffffffffbfc44780	download	1	1	0xffffffffbfc22d1c		
0xffffffffbfc447a0	assign	1	1	0xffffffffbfc22c88		
0xffffffffbfc447c0	http	1	1	0xffffffffbfc22bd4		
