subsystem,reference,manufacturer,part_number,function,key_properties,confidence,evidence
CPU,under central heatsink,Cavium/Marvell,CN5010-400BG564-SCP-G,OCTEON Plus single-core networking SoC,400 MHz; MIPS64/32; SCP security SKU,High,User marking + public RV220W inventories
RAM1,U6,Etron,EM68B16CWQD-25H,DDR2 SDRAM,32M x16; 64 MiB,High,Photo
RAM2,U12,Etron,EM68B16CWQD-25H,DDR2 SDRAM,32M x16; 64 MiB,High,Photo
FLASH,U4,Macronix,MX29GL256EHT2I-90Q,Parallel NOR flash,256 Mbit / 32 MiB; 3 V; 90 ns,High,Photo + data sheet
SWITCH,under upper-left heatsink,Broadcom,BCM53115SKFBG,5-port Gigabit Ethernet RoboSwitch,5 integrated GPHYs,High,User marking + public inventory
WLAN,Mini PCI daughter card,Broadcom,BCM4322LKFBG,802.11a/b/g/n WLAN,dual band; removable Mini PCI,High,User marking + public inventory
LATCH,U3,Texas Instruments likely,SN74LVC373A candidate,8-bit transparent latch,3-state output,Medium-high,Top mark LC373A; placement near flash
CLOCK,U11,ICS/IDT likely,ICS840-125 candidate,125 MHz oscillator replacement,LVCMOS/LVTTL,Medium-high,Top mark 840A125L
LDO,U23,AME likely,AME8809 candidate,600 mA CMOS LDO,output option unknown,Medium-high,Top mark 8809
MAGNETICS,x2,unknown,HN4821CG,Ethernet transformer,likely dual-port,Medium-high,Photo
MAGNETICS,x1,unknown,HN2411CG,Ethernet transformer,likely single-port,Medium-high,Photo
